Neighborhood_Tabulation_Area_Code__NTA_Code_,Neighborhood_Tabulation_Area_Name__NTA_NAME_,Borough_Name,Total_Population,Population_Density__per_Sq__Mi__,Total_Number_of_Households,Area__Sq__Mi__,Street_Mileage,Home_Broadband_Adoption__Percentage_of_Households_,"Home_Broadband_Adoption_by_Quartiles__High,_Medium-High,_Medium-Low,_Low_",Mobile_Broadband_Adoption__Percentage_of_Households_,"Mobile_broadband_adoption_by_Quartiles__High,_Medium-High,_Medium-Low,_Low_",Mobile_Dependent_Households__Percentage_of_Households_,"Mobile_Dependent_Households_Categorized_by_Quartiles__High,_Medium-High,_Medium-Low,_Low_",Residential_Broadband_Choice_Average_by_NTA,"Residential_Broadband_Choice_Average_by_Quartiles__High,_Medium-High,_Medium-Low,_Low_",Commercial_Fiber_ISP_Choice_Average_by_NTA,"Commercial_Fiber_Choice_Average_by_Quartiles__High,_Medium-High,_Medium-Low,_Low_",Commercial_Fiber_Max_ISP_Choice_by_NTA,"Commercial_Fiber_Max_ISP_Choice_by_Quartiles__High,_Medium-High,_Medium-Low,_Low_",Percentage_of_Blocks_without_a_Commercial_Fiber_Provider,Percentage_of_Blocks_without_a_Commercial_Fiber_Provider_by_Quartiles,Percentage_of_Blocks_with_ISP_Reported_Speed_Availability_of_>=25_Mbps__Broadband_Speed_,Percentage_of_Blocks_with_ISP_Reported_Speed_Availability_of_>=900_Mbps,Number_of_Public_Computer_Centers_with_free_public_Wi-Fi,Public_Wi-Fi_in_NYC_Count,Number_of_Free_Public_Wi-Fi_Access_Points_in_a_Pedestrian_Corridor,Available_Free_Public_Wi-Fi_in_a_Pedestrian_Corridor__Y/N_,Estimated_Number_of_Businesses,Number_of_Households,Total_Accounts,Account_Density,Account_Density_Quartile,Population_Projections_2050,Households_Receiving_Benefits,Estimated_Lifeline_Eligible_Households,Supportive_Housing__NYCDHS_,Low-Income_Housing__NYCHA_,Presence_of_IBZs,Number_of_NYCHA_Buildings,Number_of_Public_Schools,Number_of_DCAS_Buildings,Number_of_NYC_H+H_Buildings,City_Buildings_with_High_Rooftops__7+_Floors__Capacity_by_Quartile,Street_Furniture:_FDNY_Call_Boxes,Street_Furniture:_Parking_Pay_Stations,Street_Furniture:_Bus_Stop_Shelters,Street_Furniture:_Bike_Shelters,Street_Furniture:_City_Benches,LinkNYC_Kiosks,WalkNYC_Sign_Locations,Poles_Reserved_by_Mobile_Telecom_Franchisee,Pole_with_Equipment_Installed_by_Mobile_Telecom_Franchise,Density_of_Poles_Reserved_and_with_Equipment_Installed_for_Mobile_Telecom_Franchise,Mobile_Telecom_Franchise_Pole_Density_Level_by_Quartile,Empire_City_Subway_Coverage__Percentage_,Percentage_of_Households_with_fewer_than_3_broadband_options_available,Number_of_Fixed_Wireless_Providers_Available,Estimated_Aerial_Plant_Coverage__Percentage_,Estimated_Underground_Plant_Coverage__Percentage_,Geographic_Variations_in_Fiber_Delivery_Modes_by_NTA,Estimated_Underground_Utility_Conflict_Volume,Utility_Pole_Make_Ready_Estimated_Required_Number_of_Moves,Utility_Pole_Make-Ready_-_Estimated_Relative_Volume,NYC_Internet_Master_Plan_Open_Access_Infrastructure_Cost_Comparison_Coefficient,NYC_Internet_Master_Plan_Open_Access_Infrastructure_Cost_Comparison_Coefficient_by_Quartile,"Fiber_Drops,_Estimated_Relative_Costs","Indoor_Cabling_for_Multiple_Dwelling_Units,_Estimated__Relative_Costs","Optimal_for_Unlicensed
Millimeter_Wave_Fixed_Wireless_Access_as_a_Residential
Broadband_Solution","Percentage_Optimal_for_Unlicensed
Millimeter_Wave_Fixed_Wireless_Access_as_a_Residential
Broadband_Solution",Estimated_number_of_radio_sites_for_CBRS_coverage,Estimated_number_of_radio_sites_for_mmWave_coverage_in_optimal_areas,Sample_of_NTA_Field_Surveyed?__Y/N_,Reviewed_for_Underground_Fiber-to-the-Premise?__Y/N_,Reviewed_for_Aerial_Fiber-to-the-Premise?__Y/N_,Reviewed_for_Millimeter_Wave_Fixed_Wireless_Access?__Y/N_,Field_Survey_Findings,Percentage_of_Blocks_WITH_Commercial_Fiber_Provider,Size_of_Population_Growth_by_2030,2030_Population_Density,Pole_Rich,Pop_Growth_Rate
MN15,Clinton,Manhattan,44293,67181.49,27430,0.66,31,0.79,High,0.8,High,0.04,Medium Low,4.0,High,3.8,High,9,High,0.0,Low,1.0,1.0,3,46,44,True,5428.0,27430.0,32858.0,1060.0,High,58067.0,796.0,593.0,427.0,377.0,False,2.0,18.0,1.0,0.0,High,20.0,188.0,17.0,0.0,7.0,43.0,2,1.0,52.0,1.71,High,0.78,0.16,1.0,0.0,0.87,Underground Network Areas,High,4.5,High,0.34,Medium Low,High,Low,YES,0.23,24.0,8.0,NO,NO,NO,NO,NONE,1.0,13774.0,87980.30303030302,Poles Reserved Below Average,High Growth
MN17,Midtown-Midtown South,Manhattan,27811,25681.73,15436,1.08,46,0.83,High,0.83,High,0.04,Medium Low,4.3,High,7.0,,11,High,0.0,Low,1.0,1.0,5,160,130,True,5733.0,15436.0,21169.0,460.0,Medium High,39081.0,288.0,308.0,772.0,0.0,False,0.0,3.0,2.0,0.0,High,33.0,820.0,47.0,1.0,8.0,128.0,55,61.0,229.0,6.3,High,1.43,0.11,2.0,0.0,1.0,Underground Network Areas,High,4.5,High,0.22,Low,High,Low,NO,0.0,75.0,19.0,NO,NO,NO,NO,NONE,1.0,11270.0,36186.11111111111,Poles Reserved Above Average,Unknown
MN19,Turtle Bay-East Midtown,Manhattan,49628,79549.63,29134,0.62,31,0.86,High,0.84,High,0.04,Medium Low,4.0,High,4.7,High,11,High,0.0,Low,1.0,1.0,3,111,102,True,5533.0,29134.0,34667.0,1118.0,High,56606.0,127.0,363.0,0.0,0.0,False,0.0,3.0,4.0,0.0,High,37.0,236.0,29.0,0.0,3.0,96.0,6,9.0,78.0,2.81,High,1.01,0.14,1.0,0.0,0.96,Underground Network Areas,High,4.5,High,0.37,Medium Low,High,Low,NO,0.0,86.0,21.0,NO,NO,NO,NO,NONE,1.0,6978.0,91300.0,Poles Reserved Above Average,High Growth
MN20,Murray Hill-Kips Bay,Manhattan,47774,91947.44,26312,0.52,25,0.83,High,0.8,High,0.04,Medium Low,4.3,High,4.7,High,10,High,0.0,Low,1.0,1.0,2,82,79,True,5467.0,26312.0,31779.0,1271.0,High,51994.0,216.0,730.0,0.0,492.0,False,1.0,4.0,3.0,1.0,High,43.0,280.0,19.0,0.0,6.0,68.0,10,11.0,57.0,2.72,High,1.07,0.12,2.0,0.0,0.96,Underground Network Areas,High,4.5,High,0.33,Medium Low,High,Low,NO,0.0,124.0,50.0,NO,NO,NO,NO,NONE,1.0,4220.0,99988.46153846153,Poles Reserved Above Average,High Growth
MN21,Gramercy,Manhattan,27886,103290.72,14143,0.27,14,0.88,High,0.84,High,0.03,Low,4.3,High,4.0,High,8,High,0.0,Low,1.0,1.0,2,51,49,True,3975.0,14143.0,18118.0,1294.0,High,28580.0,231.0,129.0,410.0,0.0,False,0.0,16.0,1.0,0.0,High,21.0,183.0,16.0,0.0,8.0,48.0,6,5.0,37.0,3.0,High,0.93,0.13,1.0,0.0,1.0,Underground Network Areas,High,4.5,High,0.2,Low,High,Low,YES,0.27,87.0,51.0,NO,NO,NO,NO,NONE,1.0,694.0,105851.85185185184,Poles Reserved Below Average,Unknown
MN22,East Village,Manhattan,43022,110099.0,21976,0.39,17,0.7,Medium Low,0.79,High,0.04,Medium Low,3.8,High,2.7,High,5,High,0.0,Low,1.0,1.0,3,58,53,True,2938.0,21976.0,24914.0,1466.0,High,44977.0,294.0,859.0,169.0,357.0,False,1.0,6.0,2.0,0.0,High,48.0,146.0,21.0,0.0,3.0,53.0,4,1.0,45.0,2.71,High,0.72,0.38,1.0,0.0,1.0,Underground Network Areas,High,4.5,High,0.27,Medium Low,High,Low,NO,0.05,142.0,68.0,NO,NO,NO,NO,NONE,1.0,1955.0,115325.64102564102,Poles Reserved Below Average,Unknown
MN23,West Village,Manhattan,66772,74450.43,36554,0.9,43,0.85,High,0.85,High,0.05,Medium High,3.9,High,3.0,High,9,High,0.0,Low,1.0,1.0,4,49,25,True,3094.0,36554.0,39648.0,922.0,High,67683.0,231.0,299.0,0.0,0.0,False,0.0,6.0,1.0,0.0,High,100.0,293.0,14.0,0.0,11.0,21.0,6,12.0,151.0,3.79,High,0.77,0.29,1.0,0.0,0.92,Underground Network Areas,High,4.5,High,0.43,Medium Low,High,Low,YES,0.25,44.0,16.0,NO,NO,NO,NO,NONE,1.0,911.0,75203.33333333333,Poles Reserved Above Average,Unknown
MN24,SoHo-TriBeCa-Civic Center-Little Italy,Manhattan,42979,47867.59,19886,0.9,43,0.82,High,0.84,High,0.05,Medium High,3.6,High,3.6,High,14,High,0.0,Low,1.0,1.0,3,58,37,True,4070.0,19886.0,23956.0,557.0,Medium High,46753.0,180.0,1195.0,0.0,0.0,False,0.0,6.0,29.0,2.0,High,125.0,219.0,14.0,0.0,32.0,21.0,36,21.0,130.0,3.51,High,1.29,0.43,2.0,0.0,0.95,Underground Network Areas,High,4.5,High,0.25,Low,High,Low,YES,0.27,28.0,13.0,NO,NO,NO,NO,NONE,1.0,3774.0,51947.777777777774,Poles Reserved Above Average,High Growth
MN25,Battery Park City-Lower Manhattan,Manhattan,45737,67103.35,21956,0.68,41,0.89,High,0.88,High,0.03,Low,3.8,High,4.5,High,11,High,0.0,Low,1.0,1.0,2,52,38,True,1231.0,21956.0,23187.0,566.0,Medium High,44541.0,165.0,491.0,0.0,0.0,False,0.0,14.0,4.0,0.0,High,108.0,150.0,17.0,0.0,19.0,4.0,51,6.0,136.0,3.46,High,1.2,0.33,2.0,0.09,0.8,Above and Underground Network,Average,4.5,High,0.25,Low,Average,Average,NO,0.03,56.0,36.0,NO,NO,NO,NO,NONE,1.0,-1196.0,65501.47058823529,Poles Reserved Below Average,Unknown
MN27,Chinatown,Manhattan,44898,86316.9,18595,0.52,35,0.54,Low,0.6,Low,0.03,Low,3.4,High,2.3,High,5,High,0.0,Low,1.0,1.0,3,29,14,True,2966.0,18595.0,21561.0,616.0,Medium High,48741.0,808.0,3988.0,0.0,2740.0,False,12.0,23.0,16.0,0.0,High,94.0,199.0,14.0,0.0,10.0,14.0,31,3.0,62.0,1.86,High,0.51,0.54,1.0,0.0,0.97,Underground Network Areas,Average,4.5,High,0.22,Low,Average,Average,NO,0.0,79.0,52.0,NO,NO,NO,NO,NONE,1.0,3843.0,93732.6923076923,Poles Reserved Below Average,High Growth
MN28,Lower East Side,Manhattan,72789,87107.03,31745,0.84,45,0.49,Low,0.57,Low,0.03,Low,3.6,High,2.4,High,4,High,0.0,Low,1.0,1.0,8,7,0,False,2480.0,31745.0,34225.0,761.0,High,75559.0,2614.0,6606.0,379.0,11589.0,False,32.0,22.0,3.0,2.0,Medium High,112.0,36.0,36.0,1.0,18.0,0.0,10,1.0,89.0,2.0,High,0.38,0.34,2.0,0.0,0.94,Underground Network Areas,High,4.5,High,0.37,Medium Low,High,Low,YES,0.28,32.0,10.0,YES,YES,NO,NO,High underground interference from existing utilities.,1.0,2770.0,89951.19047619047,Poles Reserved Below Average,Unknown
MN31,Lenox Hill-Roosevelt Island,Manhattan,82051,106392.34,43061,0.77,36,0.84,High,0.82,High,0.04,Medium Low,3.3,High,2.8,High,5,High,0.0,Low,1.0,0.99,6,52,46,True,1604.0,43061.0,44665.0,1241.0,High,81782.0,554.0,822.0,0.0,150.0,False,1.0,12.0,3.0,1.0,Medium High,82.0,128.0,30.0,0.0,10.0,45.0,9,6.0,81.0,2.42,High,0.42,0.42,3.0,0.06,0.77,Above and Underground Network,High,4.5,High,0.48,Medium Low,High,Low,YES,0.05,41.0,32.0,NO,NO,NO,NO,NONE,1.0,-269.0,106210.38961038961,Poles Reserved Below Average,Unknown
MN32,Yorkville,Manhattan,81278,166594.62,43627,0.49,19,0.84,High,0.84,High,0.05,Medium High,3.4,High,2.9,High,5,High,0.0,Low,1.0,0.95,2,14,13,True,1696.0,43627.0,45323.0,2385.0,High,78678.0,536.0,1083.0,65.0,1173.0,False,4.0,5.0,2.0,0.0,High,45.0,92.0,29.0,0.0,6.0,13.0,14,2.0,26.0,1.47,High,0.54,0.4,2.0,0.0,0.95,Underground Network Areas,High,4.5,High,0.48,Medium Low,High,Low,YES,0.05,42.0,20.0,NO,NO,NO,NO,NONE,1.0,-2600.0,160567.3469387755,Poles Reserved Below Average,Unknown
MN33,East Harlem South,Manhattan,59777,100090.93,24632,0.6,30,0.64,Medium Low,0.68,Medium Low,0.07,High,2.8,High,2.8,High,5,High,0.0,Low,1.0,0.95,4,20,18,True,1067.0,24632.0,25699.0,857.0,High,63962.0,1291.0,4775.0,54.0,6671.0,False,25.0,27.0,2.0,3.0,High,78.0,77.0,34.0,0.0,13.0,14.0,8,14.0,36.0,1.67,High,0.51,0.76,3.0,0.0,0.97,Underground Network Areas,High,4.5,High,0.27,Medium Low,High,Low,YES,0.14,41.0,17.0,NO,NO,NO,NO,NONE,1.0,4185.0,106603.33333333334,Poles Reserved Above Average,High Growth
MN34,East Harlem North,Manhattan,61031,69465.25,24941,0.88,49,0.57,Low,0.59,Low,0.06,High,2.5,Medium High,2.6,High,5,High,0.0,Low,1.0,0.88,7,65,49,True,724.0,24941.0,25665.0,524.0,Medium High,71957.0,1654.0,6113.0,572.0,8684.0,False,24.0,21.0,8.0,0.0,Medium High,94.0,64.0,28.0,0.0,32.0,27.0,11,30.0,33.0,1.29,High,0.34,0.98,2.0,0.07,0.94,Above and Underground Network,Average,4.5,High,0.26,Medium Low,Average,Average,YES,0.61,50.0,21.0,NO,NO,NO,NO,NONE,1.0,10926.0,81769.31818181818,Poles Reserved Above Average,High Growth
MN35,Washington Heights North,Manhattan,73523,90433.66,26000,0.81,28,0.72,Medium High,0.72,Medium High,0.07,High,2.4,Medium High,2.2,High,4,High,0.0,Low,1.0,0.95,1,25,20,True,735.0,26000.0,26735.0,955.0,High,68874.0,741.0,4726.0,0.0,0.0,False,0.0,19.0,2.0,0.0,Medium Low,70.0,96.0,24.0,1.0,17.0,20.0,12,8.0,15.0,0.82,Medium High,0.38,1.0,2.0,0.0,0.88,Above and Underground Network,High,4.5,High,0.29,Medium Low,High,Low,YES,0.41,58.0,36.0,NO,NO,NO,NO,NONE,1.0,-4649.0,85029.62962962962,Poles Reserved Below Average,Unknown
MN36,Washington Heights South,Manhattan,92476,111645.64,30122,0.83,46,0.62,Low,0.69,Medium Low,0.07,High,2.3,Medium High,2.1,High,4,High,0.0,Low,1.0,0.95,6,48,34,True,862.0,30122.0,30984.0,674.0,High,84565.0,1765.0,5963.0,316.0,998.0,False,6.0,16.0,3.0,1.0,High,88.0,118.0,36.0,0.0,29.0,34.0,9,16.0,36.0,1.13,High,0.33,1.0,2.0,0.03,0.93,Above and Underground Network,Average,4.5,High,0.32,Medium Low,Average,Average,YES,0.31,17.0,8.0,NO,NO,NO,NO,NONE,1.0,-7911.0,101885.5421686747,Poles Reserved Above Average,Unknown
MN40,Upper East Side-Carnegie Hill,Manhattan,58593,81412.57,28764,0.72,40,0.86,High,0.83,High,0.04,Medium Low,3.5,High,3.5,High,8,High,0.0,Low,1.0,1.0,1,54,46,True,2024.0,28764.0,30788.0,770.0,High,60923.0,89.0,777.0,0.0,0.0,False,0.0,4.0,1.0,0.0,High,92.0,276.0,6.0,0.0,9.0,45.0,9,10.0,110.0,3.0,High,0.66,0.58,3.0,0.0,1.0,Underground Network Areas,High,4.5,High,0.33,Medium Low,High,Low,YES,0.12,43.0,34.0,YES,YES,NO,NO,High underground interference from existing utilities.,1.0,2330.0,84615.27777777778,Poles Reserved Above Average,Unknown
MN50,Stuyvesant Town-Cooper Village,Manhattan,21462,107199.1,10434,0.2,10,0.81,High,0.8,High,0.04,Medium Low,3.8,High,2.2,High,4,High,0.0,Low,1.0,1.0,0,0,0,False,1746.0,10434.0,12180.0,1218.0,High,20913.0,69.0,183.0,0.0,0.0,False,0.0,0.0,0.0,0.0,Low,7.0,3.0,17.0,0.0,2.0,0.0,1,0.0,13.0,1.3,High,0.34,0.35,1.0,0.0,0.9,Underground Network Areas,High,4.5,High,0.13,Low,High,Low,YES,0.44,25.0,8.0,NO,NO,NO,NO,NONE,1.0,-549.0,104565.0,Poles Reserved Below Average,Unknown
QN01,South Jamaica,Queens,41606,29019.75,12117,1.43,49,0.58,Low,0.72,Medium High,0.09,High,1.9,Medium Low,1.0,Low,1,Low,0.07,Medium Low,1.0,1.0,3,7,0,False,473.0,12117.0,12590.0,257.0,Medium Low,41371.0,923.0,2376.0,0.0,2096.0,True,4.0,8.0,16.0,0.0,Medium Low,125.0,5.0,7.0,0.0,3.0,0.0,0,9.0,12.0,0.43,Medium Low,0.0,1.0,1.0,1.0,0.0,Above and Underground Network,Average,4.0,Average,1.08,Medium High,Average,Average,NO,0.0,49.0,14.0,NO,NO,NO,NO,NONE,0.9299999999999999,-235.0,28930.76923076923,Poles Reserved Above Average,Low Growth
QN02,Springfield Gardens North,Queens,27577,27044.99,10407,1.02,31,0.59,Low,0.71,Medium Low,0.15,High,2.0,Medium Low,1.4,Medium-High,2,Medium Low,0.05,Medium Low,1.0,1.0,4,5,0,False,901.0,10407.0,11308.0,365.0,Medium Low,25655.0,222.0,799.0,0.0,0.0,False,0.0,11.0,6.0,0.0,Low,54.0,5.0,12.0,0.0,3.0,0.0,0,3.0,1.0,0.13,Low,0.0,1.0,2.0,1.0,0.0,Above Ground (Utility Pole Presence),Average,4.0,Average,0.97,Medium High,Average,Average,NO,0.0,70.0,21.0,NO,NO,NO,NO,NONE,0.95,-1922.0,25151.960784313724,Poles Reserved Below Average,Low Growth
QN03,Springfield Gardens South-Brookville,Queens,21900,14113.34,5918,1.55,67,0.64,Medium Low,0.78,High,0.16,High,1.8,Low,1.1,Low,2,Medium Low,0.22,High,0.96,0.96,0,0,0,False,658.0,5918.0,6576.0,98.0,Low,20537.0,250.0,602.0,0.0,0.0,True,0.0,5.0,8.0,0.0,Medium Low,36.0,6.0,3.0,0.0,1.0,0.0,0,14.0,4.0,0.27,Low,0.0,1.0,2.0,1.0,0.0,Above Ground (Utility Pole Presence),Low,3.0,Low,0.56,Medium Low,Low,High,YES,0.09,44.0,19.0,NO,NO,NO,NO,NONE,0.78,-1363.0,13249.677419354839,Poles Reserved Above Average,Low Growth
QN05,Rosedale,Queens,27462,12430.88,7643,2.21,59,0.83,High,0.82,High,0.04,Medium Low,2.0,Medium High,1.2,Low,3,Medium High,0.11,Medium High,0.98,0.97,1,1,0,False,369.0,7643.0,8012.0,136.0,Low,25398.0,333.0,585.0,0.0,0.0,False,0.0,4.0,14.0,0.0,Low,69.0,8.0,5.0,0.0,3.0,0.0,0,4.0,6.0,0.17,Low,0.0,0.86,2.0,0.95,0.0,Above and Underground Network,Low,3.0,Low,0.68,Medium Low,Low,High,YES,0.01,55.0,33.0,NO,NO,NO,NO,NONE,0.89,-2064.0,11492.307692307693,Poles Reserved Below Average,Low Growth
QN06,Jamaica Estates-Holliswood,Queens,26757,17433.64,9301,1.53,51,0.7,Medium Low,0.75,Medium High,0.1,High,1.9,Medium Low,1.1,Low,2,Medium Low,0.12,Medium High,1.0,1.0,1,1,0,False,871.0,9301.0,10172.0,199.0,Low,26372.0,167.0,704.0,0.0,0.0,False,0.0,2.0,4.0,0.0,Low,85.0,34.0,17.0,0.0,2.0,0.0,0,3.0,4.0,0.14,Low,0.0,1.0,1.0,0.79,0.67,Above and Underground Network,Low,3.0,Low,0.87,Medium High,Low,High,YES,0.05,40.0,22.0,NO,NO,NO,NO,NONE,0.88,-385.0,17236.601307189543,Poles Reserved Below Average,Low Growth
QN07,Hollis,Queens,21214,25841.15,6721,0.82,30,0.64,Medium Low,0.71,Medium High,0.13,High,2.0,Medium Low,1.2,Low,2,Medium Low,0.03,Low,1.0,1.0,1,1,0,False,346.0,6167.0,6513.0,217.0,Low,20676.0,238.0,781.0,0.0,0.0,False,0.0,5.0,1.0,0.0,Low,75.0,17.0,4.0,0.0,3.0,0.0,0,5.0,0.0,0.17,Low,0.0,1.0,1.0,1.0,0.81,Above and Underground Network,Low,3.0,Low,0.55,Medium Low,Low,High,YES,0.07,95.0,6.0,NO,NO,NO,NO,NONE,0.97,-538.0,25214.634146341465,Poles Reserved Below Average,Low Growth
QN08,St. Albans,Queens,54626,19673.41,15623,2.78,89,0.61,Low,0.73,Medium High,0.16,High,2.0,Medium High,1.0,Low,2,Medium Low,0.03,Low,1.0,1.0,1,20,0,False,548.0,15623.0,16171.0,182.0,Low,51236.0,440.0,1791.0,0.0,0.0,False,0.0,9.0,22.0,0.0,Medium High,177.0,9.0,32.0,0.0,3.0,0.0,0,11.0,7.0,0.2,Low,0.0,1.0,1.0,1.0,0.07,Above and Underground Network,Low,3.0,Low,1.39,Medium High,Low,High,NO,0.0,102.0,4.0,NO,NO,NO,NO,NONE,0.97,-3390.0,18430.215827338132,Poles Reserved Above Average,Low Growth
QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,Queens,28243,7918.81,10803,3.57,64,0.75,Medium High,0.71,Medium High,0.04,Medium Low,1.9,Medium Low,1.3,Medium-Low,3,Medium High,0.13,Medium High,0.95,0.95,3,17,0,False,168.0,10803.0,10971.0,171.0,Low,28409.0,90.0,641.0,0.0,0.0,False,0.0,9.0,16.0,0.0,Low,93.0,36.0,8.0,0.0,6.0,0.0,5,3.0,8.0,0.17,Low,0.0,0.99,2.0,0.86,0.0,Above Ground (Utility Pole Presence),Low,3.0,Low,0.94,Medium High,Low,High,YES,0.1,43.0,0.0,NO,NO,NO,NO,NONE,0.87,166.0,7957.703081232494,Poles Reserved Below Average,Low Growth
QN12,Hammels-Arverne-Edgemere,Queens,39003,17568.47,13346,2.22,62,0.67,Medium Low,0.74,Medium High,0.06,High,1.7,Low,1.2,Medium-Low,2,Medium Low,0.34,High,0.89,0.89,6,9,0,False,295.0,13346.0,13641.0,220.0,Low,41227.0,781.0,3300.0,0.0,3411.0,False,8.0,5.0,14.0,0.0,Medium Low,90.0,2.0,21.0,0.0,2.0,0.0,5,3.0,1.0,0.06,Low,0.0,1.0,2.0,0.88,0.0,Above and Underground Network,Low,3.0,Low,1.14,Medium High,Low,High,YES,0.29,51.0,10.0,NO,NO,NO,NO,NONE,0.6599999999999999,2224.0,18570.720720720718,Poles Reserved Below Average,Low Growth
QN15,Far Rockaway-Bayswater,Queens,54264,27933.29,16904,1.94,58,0.62,Low,0.63,Low,0.05,Medium High,2.0,Medium High,1.3,Medium-Low,3,Medium High,0.06,Medium Low,0.97,0.96,6,11,0,False,524.0,16904.0,17428.0,300.0,Medium Low,51612.0,1052.0,3239.0,0.0,604.0,False,2.0,14.0,22.0,0.0,Low,99.0,33.0,9.0,0.0,13.0,0.0,1,3.0,2.0,0.09,Low,0.0,0.94,2.0,0.99,0.0,Above Ground (Utility Pole Presence),Average,4.0,Average,1.47,High,Average,Average,YES,0.26,83.0,0.0,NO,NO,NO,NO,NONE,0.94,-2652.0,26604.123711340206,Poles Reserved Below Average,Low Growth
QN17,Forest Hills,Queens,86531,41718.45,39394,2.07,67,0.78,High,0.72,Medium High,0.04,Medium Low,2.0,Medium High,1.3,Medium-Low,3,Medium High,0.1,Medium Low,1.0,1.0,5,30,24,True,2028.0,39394.0,41422.0,618.0,Medium High,86113.0,617.0,2679.0,0.0,430.0,False,5.0,12.0,7.0,0.0,Low,141.0,272.0,31.0,1.0,15.0,24.0,0,15.0,27.0,0.63,Medium High,0.0,0.74,2.0,0.25,1.0,Above and Underground Network,Average,4.5,High,3.53,High,Average,Average,YES,0.35,48.0,0.0,NO,NO,NO,NO,NONE,0.9,-418.0,41600.48309178744,Poles Reserved Above Average,Low Growth
QN18,Rego Park,Queens,28106,39294.28,12262,0.72,29,0.73,Medium High,0.65,Low,0.06,High,1.9,Medium Low,1.2,Low,2,Medium Low,0.15,Medium High,1.0,1.0,3,7,0,False,1183.0,12262.0,13445.0,464.0,Medium High,30912.0,373.0,1295.0,0.0,0.0,False,0.0,3.0,2.0,0.0,Low,52.0,102.0,20.0,0.0,6.0,0.0,2,3.0,14.0,0.59,Medium Low,0.0,0.73,1.0,0.76,0.99,Above and Underground Network,Average,4.5,High,1.14,Medium High,Average,Average,YES,0.25,40.0,0.0,NO,NO,NO,NO,NONE,0.85,2806.0,42933.333333333336,Poles Reserved Below Average,Low Growth
QN19,Glendale,Queens,34029,31606.65,11887,1.08,41,0.75,Medium High,0.73,Medium High,0.04,Medium Low,2.1,Medium High,1.0,Low,2,Medium Low,0.08,Medium Low,1.0,1.0,1,1,0,False,1962.0,11887.0,13849.0,338.0,Medium Low,32893.0,242.0,1120.0,0.0,0.0,False,0.0,3.0,4.0,0.0,Medium Low,88.0,29.0,12.0,0.0,3.0,0.0,3,8.0,5.0,0.32,Low,0.0,0.85,2.0,0.42,1.0,Above and Underground Network,Average,4.0,Average,1.18,Medium High,Average,Average,NO,0.01,21.0,8.0,NO,NO,NO,NO,NONE,0.92,-1136.0,30456.481481481478,Poles Reserved Below Average,Low Growth
QN20,Ridgewood,Queens,72964,40285.76,24676,1.81,53,0.71,Medium High,0.73,Medium High,0.04,Medium Low,3.0,High,1.3,Medium-Low,3,Medium High,0.05,Low,1.0,1.0,2,2,0,False,1716.0,24257.0,25973.0,490.0,Medium High,72569.0,733.0,4211.0,0.0,0.0,True,0.0,12.0,8.0,0.0,Medium Low,140.0,140.0,21.0,0.0,11.0,0.0,1,13.0,24.0,0.7,Medium High,0.0,0.07,2.0,0.66,0.94,Above and Underground Network,Average,4.5,High,2.22,High,Average,Average,YES,0.04,30.0,0.0,NO,NO,NO,NO,NONE,0.95,-395.0,40093.37016574586,Poles Reserved Above Average,Low Growth
QN21,Middle Village,Queens,38033,18381.93,14751,2.07,53,0.78,High,0.7,Medium Low,0.04,Medium Low,2.7,High,1.1,Low,3,Medium High,0.11,Medium Low,1.0,1.0,2,9,0,False,780.0,14751.0,15531.0,293.0,Medium Low,38281.0,279.0,929.0,0.0,0.0,False,0.0,3.0,14.0,0.0,Low,108.0,53.0,7.0,0.0,3.0,0.0,1,16.0,8.0,0.45,Medium Low,0.0,0.32,2.0,0.88,0.56,Above and Underground Network,Average,4.0,Average,1.31,Medium High,Average,Average,YES,0.03,69.0,16.0,NO,NO,NO,NO,NONE,0.89,248.0,18493.236714975847,Poles Reserved Above Average,Low Growth
QN22,Flushing,Queens,70697,52055.19,26279,1.36,44,0.55,Low,0.6,Low,0.14,High,2.1,Medium High,1.5,Medium-High,5,High,0.07,Medium Low,0.99,0.99,5,6,0,False,2829.0,26279.0,29108.0,662.0,High,82525.0,709.0,6578.0,0.0,906.0,False,5.0,10.0,4.0,0.0,Low,79.0,190.0,35.0,0.0,16.0,0.0,18,11.0,42.0,1.2,High,0.0,0.54,2.0,0.74,0.65,Above and Underground Network,High,4.5,High,2.44,High,High,Low,YES,0.74,68.0,16.0,NO,NO,NO,NO,NONE,0.9299999999999999,11828.0,60680.147058823524,Poles Reserved Above Average,High Growth
QN23,College Point,Queens,25875,14268.1,7778,1.81,44,0.68,Medium Low,0.61,Low,0.09,High,1.9,Medium Low,1.1,Low,3,Medium High,0.08,Medium Low,0.96,0.96,1,1,0,False,1594.0,7778.0,9372.0,213.0,Low,25650.0,238.0,1421.0,0.0,13.0,False,0.0,1.0,18.0,0.0,Low,76.0,22.0,15.0,0.0,5.0,0.0,0,4.0,10.0,0.32,Low,0.0,1.0,2.0,0.98,0.0,Above and Underground Network,Low,3.0,Low,0.8,Medium Low,Low,High,YES,0.15,64.0,16.0,NO,NO,NO,NO,NONE,0.92,-225.0,14171.270718232045,Poles Reserved Below Average,Low Growth
