Neighborhood Tabulation Area Code (NTA Code),Neighborhood Tabulation Area Name (NTA NAME),Borough Name,Total Population,Population Density (per Sq. Mi.),Total Number of Households,Area (Sq. Mi.),Street Mileage,Home Broadband Adoption (Percentage of Households),"Home Broadband Adoption by Quartiles (High, Medium-High, Medium-Low, Low)",Mobile Broadband Adoption (Percentage of Households),"Mobile broadband adoption by Quartiles (High, Medium-High, Medium-Low, Low)",Mobile Dependent Households (Percentage of Households),"Mobile Dependent Households Categorized by Quartiles (High, Medium-High, Medium-Low, Low)",Residential Broadband Choice Average by NTA,"Residential Broadband Choice Average by Quartiles (High, Medium-High, Medium-Low, Low)",Commercial Fiber ISP Choice Average by NTA,"Commercial Fiber Choice Average by Quartiles (High, Medium-High, Medium-Low, Low)",Commercial Fiber Max ISP Choice by NTA,"Commercial Fiber Max ISP Choice by Quartiles (High, Medium-High, Medium-Low, Low)",Percentage of Blocks without a Commercial Fiber Provider,Percentage of Blocks without a Commercial Fiber Provider by Quartiles,Percentage of Blocks with ISP Reported Speed Availability of >=25 Mbps (Broadband Speed),Percentage of Blocks with ISP Reported Speed Availability of >=900 Mbps,Number of Public Computer Centers with free public Wi-Fi,Public Wi-Fi in NYC Count,Number of Free Public Wi-Fi Access Points in a Pedestrian Corridor,Available Free Public Wi-Fi in a Pedestrian Corridor (Y/N),Estimated Number of Businesses,Number of Households,Total Accounts,Account Density,Account Density Quartile,Population Projections 2050,Households Receiving Benefits,Estimated Lifeline Eligible Households,Supportive Housing (NYCDHS),Low-Income Housing (NYCHA),Presence of IBZs,Number of NYCHA Buildings,Number of Public Schools,Number of DCAS Buildings,Number of NYC H+H Buildings,City Buildings with High Rooftops (7+ Floors) Capacity by Quartile,Street Furniture: FDNY Call Boxes,Street Furniture: Parking Pay Stations,Street Furniture: Bus Stop Shelters,Street Furniture: Bike Shelters,Street Furniture: City Benches,LinkNYC Kiosks,WalkNYC Sign Locations,Poles Reserved by Mobile Telecom Franchisee,Pole with Equipment Installed by Mobile Telecom Franchise,Density of Poles Reserved and with Equipment Installed for Mobile Telecom Franchise,Mobile Telecom Franchise Pole Density Level by Quartile,Empire City Subway Coverage (Percentage),Empire City Subway Coverage (Quartile),Percentage of Households with fewer than 3 broadband options available,Number of Fixed Wireless Providers Available,Estimated Aerial Plant Coverage (Percentage),Estimated Underground Plant Coverage (Percentage),Geographic Variations in Fiber Delivery Modes by NTA,Estimated Underground Utility Conflict Volume,Utility Pole Make-Ready - Estimated Required Number of Moves,Utility Pole Make-Ready - Estimated Relative Volume,NYC Internet Master Plan Open Access Infrastructure Cost Comparison Coefficient,NYC Internet Master Plan Open Access Infrastructure Cost Comparison Coefficient by Quartile,"Fiber Drops, Estimated Relative Costs","Indoor Cabling for Multiple Dwelling Units, Estimated  Relative Costs","Optimal for Unlicensed
Millimeter Wave Fixed Wireless Access as a Residential
Broadband Solution","Percentage Optimal for Unlicensed
Millimeter Wave Fixed Wireless Access as a Residential
Broadband Solution",Estimated number of radio sites for CBRS coverage,Estimated number of radio sites for mmWave coverage in optimal areas,Sample of NTA Field Surveyed? (Y/N),Reviewed for Underground Fiber-to-the-Premise? (Y/N),Reviewed for Aerial Fiber-to-the-Premise? (Y/N),Reviewed for Millimeter Wave Fixed Wireless Access? (Y/N),Field Survey Findings
BX37,Van Nest-Morris Park-Westchester Square,Bronx,"29,509","22,662.2","9,846",1.3,44,0.66,Medium Low,0.72,Medium High,0.08,High,1.8,Low,1.5,Medium-High,3,Medium High,0.27,High,0.98,0.8,3,7,0,false,"1,143","9,586","10,729",244,Low,"37,908",551,"2,228",0,0,false,0,7,8,0,Medium High,41,93,21,0,8,0,0,4,38,0.95,Medium High,0.29,Medium Low,1,1,1,0.43,Above and Underground Network,Low,3,Low,0.12,Low,Low,High,YES,0.21,45,35,NO,NO,NO,NO,NONE
BX39,Mott Haven-Port Morris,Bronx,"55,080","36,651.17","18,727",1.5,60,0.56,Low,0.67,Low,0.07,High,1.6,Low,2.2,High,5,High,0.15,Medium High,0.98,0.56,6,41,26,true,674,"18,727","19,401",323,Medium Low,"66,973","1,860","7,488",194,"7,829",true,18,31,10,2,Medium High,126,33,26,0,13,22,5,41,52,1.55,High,0.23,Medium Low,1,2,0.83,0.92,Above and Underground Network,Average,4,Average,0.21,Low,Average,Average,YES,0.85,71,50,NO,NO,NO,NO,NONE
BX40,Fordham South,Bronx,"28,434","125,654.72","8,871",0.23,11,0.59,Low,0.69,Medium Low,0.1,High,1.5,Low,1.7,High,3,Medium High,0.07,Medium Low,1,0.55,0,9,8,true,885,"8,871","9,756",887,High,"32,957","1,113","3,634",0,312,false,1,10,1,0,Medium Low,37,56,8,0,9,8,1,8,17,2.27,High,0.45,Medium High,1,0,1,1,Above and Underground Network,High,4.5,High,0.11,Low,High,Low,YES,0.56,64,47,NO,NO,NO,NO,NONE
BX41,Mount Hope,Bronx,"52,973","100,354.44","17,211",0.53,28,0.6,Low,0.71,Medium High,0.07,High,1.5,Low,1.6,Medium-High,3,Medium High,0.17,Medium High,1,0.53,2,21,18,true,794,"17,211","18,005",643,Medium High,"64,514","1,401","6,254",67,0,true,0,10,2,0,Medium High,69,26,17,1,12,15,1,17,28,1.61,High,0.29,Medium Low,1,1,1,1,Above and Underground Network,Average,4.5,High,0.19,Low,Average,Average,YES,0.72,36,31,NO,NO,NO,NO,NONE
BX43,Norwood,Bronx,"42,666","75,646.01","14,770",0.56,21,0.64,Medium Low,0.68,Medium Low,0.08,High,1.6,Low,1.8,High,3,Medium High,0.21,Medium High,1,0.65,3,11,0,false,"1,110","14,770","15,880",756,High,"44,087","1,362","4,410",0,0,false,0,10,2,1,Medium High,48,86,16,0,12,0,0,11,28,1.86,High,0.31,Medium Low,1,1,1,1,Above and Underground Network,High,4.5,High,0.17,Low,High,Low,YES,0.86,30,21,NO,NO,NO,NO,NONE
BX44,Williamsbridge-Olinville,Bronx,"65,043","49,992.26","21,796",1.3,41,0.63,Low,0.68,Medium Low,0.05,Medium High,2,Medium Low,1.7,Medium-High,3,Medium High,0.01,Low,1,0.96,2,3,0,false,831,"21,796","22,627",552,Medium High,"65,769","1,606","4,771",0,733,false,5,15,13,0,Medium High,110,55,13,0,1,0,1,5,32,0.9,Medium High,0.32,Medium Low,1,0,1,0.18,Above and Underground Network,Average,4,Average,0.24,Low,Average,Average,YES,0.34,47,34,NO,NO,NO,NO,NONE
BX46,Parkchester,Bronx,"30,826","93,572.03","12,747",0.33,13,0.73,Medium High,0.69,Medium Low,0.05,Medium High,1.8,Low,1.4,Medium-High,3,Medium High,0.24,High,1,0.75,2,1,0,false,"1,075","12,747","13,822","1,063",High,"31,601",521,"1,711",0,0,false,0,4,0,0,Low,33,75,16,0,2,0,1,3,12,1.15,High,0.31,Medium Low,1,0,1,0.98,Above and Underground Network,High,4.5,High,0.14,Low,High,Low,YES,0.42,46,46,NO,NO,NO,NO,NONE
BX49,Pelham Parkway,Bronx,"29,947","36,251.9","11,337",0.83,33,0.64,Medium Low,0.71,Medium High,0.09,High,1.8,Low,1.6,Medium-High,3,Medium High,0.12,Medium High,1,0.81,2,1,0,false,"1,175","11,337","12,512",379,Medium Low,"32,957",260,"1,559",0,0,false,0,7,1,2,Medium Low,24,76,29,0,1,0,0,8,27,1.06,Medium High,0.13,Low,1,0,1,0.4,Above and Underground Network,Average,4,Average,0.13,Low,Average,Average,YES,0.45,40,29,NO,NO,NO,NO,NONE
BX52,Schuylerville-Throgs Neck-Edgewater Park,Bronx,"47,580","14,999.22","16,436",3.17,95,0.69,Medium Low,0.69,Medium Low,0.07,High,1.8,Low,1.3,Medium-Low,4,High,0.23,High,0.98,0.74,4,10,0,false,643,"16,436","17,079",180,Low,"44,586",487,"1,839",0,"1,724",false,4,16,25,0,Low,104,91,16,0,9,0,0,0,62,0.65,Medium High,0.12,Low,1,0,0.94,0,Above and Underground Network,Low,3,Low,0.18,Low,Low,High,YES,0.04,45,25,NO,NO,NO,NO,NONE
BX55,Soundview-Bruckner,Bronx,"37,866","64,952.98","11,738",0.58,22,0.58,Low,0.68,Medium Low,0.06,High,1.8,Low,1.6,Medium-High,3,Medium High,0.1,Medium Low,1,0.78,0,0,0,false,592,"11,738","12,330",560,Medium High,"39,222","1,131","3,964",149,"1,675",false,4,7,3,0,Low,56,27,5,0,3,0,1,6,23,1.32,High,0.34,Medium High,1,0,1,0.96,Above and Underground Network,Average,4.5,High,0.13,Low,Average,Average,YES,0.59,29,26,NO,NO,NO,NO,NONE
BX59,Westchester-Unionport,Bronx,"28,437","33,109.9","9,225",0.86,36,0.67,Medium Low,0.7,Medium Low,0.04,Medium Low,1.8,Low,1.6,Medium-High,4,High,0.13,Medium High,1,0.78,1,1,0,false,896,"9,225","10,121",281,Medium Low,"31,621",707,"2,166",0,132,true,1,2,15,0,Low,56,52,12,0,2,0,0,6,22,0.78,Medium High,0.2,Medium Low,1,0,1,0.39,Above and Underground Network,Average,4,Average,0.11,Low,Average,Average,YES,0.34,52,0,NO,NO,NO,NO,NONE
BX62,Woodlawn-Wakefield,Bronx,"44,064","30,914.49","14,944",1.43,45,0.66,Medium Low,0.67,Low,0.08,High,2,Medium High,1.4,Medium-High,3,Medium High,0.09,Medium Low,1,0.91,2,3,0,false,513,"14,944","15,457",343,Medium Low,"46,033",881,"2,140",60,0,false,0,5,5,0,Low,114,49,11,0,1,0,0,1,35,0.8,Medium High,0.19,Medium Low,0.97,1,0.99,0,Above and Underground Network,Average,4,Average,0.16,Low,Average,Average,YES,0.14,40,0,YES,YES,YES,YES,"Average underground interference from existing utilities.  
Low make-ready requirements. Of the sample poles surveyed 36% required make-ready, and 0% required pole replacement. 
General findings for this area include; the presence of call boxes and low voltage wires on pole lines and spacing issues with current utility attachments in the telecom space.
Additionally, some locations had telecom service drops crossing the roadway without proper clearance. 
Area suitable for fixed wireless."
BX63,West Concourse,Bronx,"37,395","53,777.07","13,185",0.7,34,0.59,Low,0.69,Medium Low,0.09,High,1.5,Low,2.1,High,4,High,0.06,Medium Low,0.91,0.22,1,40,20,true,816,"13,185","14,001",412,Medium Low,"56,175","1,140","4,435",180,0,false,0,10,3,1,Medium High,59,61,8,0,6,20,19,18,35,1.56,High,0.19,Medium Low,0.98,2,0.69,0.91,Above and Underground Network,Average,4,Average,0.15,Low,Average,Average,YES,0.73,67,44,NO,NO,NO,NO,NONE
BX75,Crotona Park East,Bronx,"21,745","37,148.33","7,806",0.59,25,0.57,Low,0.69,Medium Low,0.04,Medium Low,1.6,Low,1.5,Medium-High,3,Medium High,0.28,High,1,0.64,1,0,0,false,579,"7,806","8,385",335,Medium Low,"33,488",723,"2,566",46,513,false,1,16,0,0,Medium High,48,0,10,0,13,0,0,2,15,0.68,Medium High,0.17,Low,1,0,1,0.87,Above and Underground Network,Average,4,Average,0.09,Low,Average,Average,YES,0.92,64,15,NO,NO,NO,NO,NONE
BX98,Rikers Island,Bronx,"12,780","19,661.53",0,0.65,16,0,Low,0,Low,0,Low,1,Low,1,Low,1,Low,0.96,High,0.07,0.04,0,0,0,false,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
BX99,park-cemetery-etc-Bronx,Bronx,540,68.18,137,7.92,117,0.72,Medium High,0.69,Medium Low,0.09,High,1.1,Low,1.3,Medium-Low,3,Medium High,0.83,High,0.74,0.06,0,34,0,false,,,,,,,,,,,,,,,,,,,,,,,0,11,15,0.22,Low,,,,,,,,,,,,,,,,,,,,,,,
MN01,Marble Hill-Inwood,Manhattan,"52,681","82,827.05","19,616",0.64,20,0.63,Low,0.7,Medium Low,0.13,High,2.5,Medium High,2.2,High,4,High,0,Low,1,0.97,2,2,0,false,729,"19,616","20,345","1,017",High,"52,432",631,"4,485",0,"4,531",false,8,19,4,0,High,44,55,17,0,11,0,7,3,20,1.15,High,0.43,Medium High,0.97,2,0.43,0.87,Above and Underground Network,High,4.5,High,0.21,Low,High,Low,YES,0.46,159,51,YES,YES,NO,NO,Average underground interference from existing utilities.
MN03,Central Harlem North-Polo Grounds,Manhattan,"85,872","94,243.43","34,519",0.91,43,0.63,Low,0.67,Low,0.06,High,2.5,High,2.3,High,4,High,0,Low,1,0.99,10,101,93,true,415,"36,145","36,560",850,High,"78,790","2,502","6,641",148,"9,494",false,27,26,7,3,High,85,48,44,0,23,36,2,13,40,1.23,High,0.36,Medium High,0.97,2,0.07,0.97,Above and Underground Network,High,4.5,High,0.38,Medium Low,High,Low,YES,0.39,55,13,YES,YES,NO,NO,High underground interference from existing utilities.
MN04,Hamilton Heights,Manhattan,"52,508","90,948.73","19,521",0.58,26,0.71,Medium High,0.76,High,0.06,High,2.3,Medium High,2.1,High,4,High,0,Low,1,0.85,2,63,52,true,723,"19,521","20,244",779,High,"49,470",748,"3,191",328,168,false,1,4,1,0,Medium Low,60,43,18,0,14,52,3,11,49,2.31,High,0.37,Medium High,0.88,2,0,0.89,Underground Network Areas,High,4.5,High,0.21,Low,High,Low,YES,0.43,139,4,NO,NO,NO,NO,NONE
MN06,Manhattanville,Manhattan,"23,666","61,970.82","10,054",0.38,17,0.64,Medium Low,0.64,Low,0.06,High,2.1,Medium High,1.9,High,3,Medium High,0,Low,1,0.81,1,19,15,true,931,"8,428","9,359",551,Medium High,"23,306",380,"2,202",27,"1,369",false,4,14,3,0,Medium Low,49,9,17,0,2,14,2,3,12,0.88,Medium High,0.28,Medium Low,0.86,2,0,0.92,Underground Network Areas,Average,4.5,High,0.1,Low,Average,Average,YES,0.8,55,12,NO,NO,NO,NO,NONE
MN09,Morningside Heights,Manhattan,"53,707","74,288.59","19,313",0.72,35,0.72,Medium High,0.74,Medium High,0.04,Medium Low,2.6,High,2.4,High,5,High,0,Low,1,0.85,5,42,36,true,"1,532","19,313","20,845",596,Medium High,"56,243",270,"1,774",72,"1,940",false,4,7,0,1,Medium High,52,77,40,0,10,36,7,10,44,1.54,High,0.36,Medium High,0.64,3,0,0.9,Underground Network Areas,High,4.5,High,0.22,Low,High,Low,YES,0.67,50,2,NO,NO,NO,NO,NONE
MN11,Central Harlem South,Manhattan,"50,095","96,725.47","20,029",0.52,25,0.69,Medium Low,0.7,Medium Low,0.04,Medium Low,2.7,High,2.7,High,5,High,0,Low,1,1,2,69,74,true,702,"20,029","20,731",829,High,"47,279",726,"2,477",276,0,false,6,18,2,2,Medium High,54,92,36,0,14,28,8,8,32,1.6,High,0.46,Medium High,0.9,3,0,1,Underground Network Areas,High,4.5,High,0.21,Low,High,Low,YES,0.6,132,38,NO,NO,NO,NO,NONE
MN12,Upper West Side,Manhattan,"134,019","108,681.09","65,005",1.23,56,0.81,High,0.8,High,0.05,Medium High,3.1,High,2.6,High,5,High,0,Low,1,0.87,4,143,136,true,"2,042","65,005","67,047","1,197",High,"133,842","1,046","3,452","1,171","3,880",false,13,23,1,0,High,108,208,61,0,45,134,17,7,136,2.55,High,0.45,Medium High,0.5,3,0,0.92,Underground Network Areas,High,4.5,High,0.72,Medium Low,High,Low,YES,0.07,90,25,NO,NO,NO,NO,NONE
MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,Manhattan,"77,205","58,128.36","42,717",1.33,58,0.84,High,0.83,High,0.04,Medium Low,4,High,4.7,High,11,High,0,Low,1,1,5,156,126,true,"5,410","42,717","48,127",830,High,"96,102",890,"1,395",849,"3,106",false,10,21,6,0,High,40,485,32,3,27,90,17,32,111,2.47,High,0.74,High,0.16,2,0,0.92,Underground Network Areas,High,4.5,High,0.51,Medium Low,High,Low,YES,0.04,27,10,NO,NO,NO,NO,NONE
MN14,Lincoln Square,Manhattan,"59,691","105,290.94","32,823",0.57,31,0.84,High,0.83,High,0.05,Medium High,3.3,High,3.2,High,7,High,0,Low,1,0.9,6,52,38,true,"2,220","32,823","35,043","1,130",High,"68,056",444,856,0,"1,259",false,6,11,1,0,High,47,125,32,0,10,37,3,10,55,2.1,High,0.51,High,0.35,3,0,0.93,Underground Network Areas,High,4.5,High,0.37,Medium Low,High,Low,NO,0,47,27,NO,NO,NO,NO,NONE
MN15,Clinton,Manhattan,"44,293","67,181.49","27,430",0.66,31,0.79,High,0.8,High,0.04,Medium Low,4,High,3.8,High,9,High,0,Low,1,1,3,46,44,true,"5,428","27,430","32,858","1,060",High,"58,067",796,593,427,377,false,2,18,1,0,High,20,188,17,0,7,43,2,1,52,1.71,High,0.78,High,0.16,1,0,0.87,Underground Network Areas,High,4.5,High,0.34,Medium Low,High,Low,YES,0.23,24,8,NO,NO,NO,NO,NONE
MN17,Midtown-Midtown South,Manhattan,"27,811","25,681.73","15,436",1.08,46,0.83,High,0.83,High,0.04,Medium Low,4.3,High,7,,11,High,0,Low,1,1,5,160,130,true,"5,733","15,436","21,169",460,Medium High,"39,081",288,308,772,0,false,0,3,2,0,High,33,820,47,1,8,128,55,61,229,6.3,High,1.43,High,0.11,2,0,1,Underground Network Areas,High,4.5,High,0.22,Low,High,Low,NO,0,75,19,NO,NO,NO,NO,NONE
MN19,Turtle Bay-East Midtown,Manhattan,"49,628","79,549.63","29,134",0.62,31,0.86,High,0.84,High,0.04,Medium Low,4,High,4.7,High,11,High,0,Low,1,1,3,111,102,true,"5,533","29,134","34,667","1,118",High,"56,606",127,363,0,0,false,0,3,4,0,High,37,236,29,0,3,96,6,9,78,2.81,High,1.01,High,0.14,1,0,0.96,Underground Network Areas,High,4.5,High,0.37,Medium Low,High,Low,NO,0,86,21,NO,NO,NO,NO,NONE
MN20,Murray Hill-Kips Bay,Manhattan,"47,774","91,947.44","26,312",0.52,25,0.83,High,0.8,High,0.04,Medium Low,4.3,High,4.7,High,10,High,0,Low,1,1,2,82,79,true,"5,467","26,312","31,779","1,271",High,"51,994",216,730,0,492,false,1,4,3,1,High,43,280,19,0,6,68,10,11,57,2.72,High,1.07,High,0.12,2,0,0.96,Underground Network Areas,High,4.5,High,0.33,Medium Low,High,Low,NO,0,124,50,NO,NO,NO,NO,NONE
MN21,Gramercy,Manhattan,"27,886","103,290.72","14,143",0.27,14,0.88,High,0.84,High,0.03,Low,4.3,High,4,High,8,High,0,Low,1,1,2,51,49,true,"3,975","14,143","18,118","1,294",High,"28,580",231,129,410,0,false,0,16,1,0,High,21,183,16,0,8,48,6,5,37,3,High,0.93,High,0.13,1,0,1,Underground Network Areas,High,4.5,High,0.2,Low,High,Low,YES,0.27,87,51,NO,NO,NO,NO,NONE
MN22,East Village,Manhattan,"43,022","110,099","21,976",0.39,17,0.7,Medium Low,0.79,High,0.04,Medium Low,3.8,High,2.7,High,5,High,0,Low,1,1,3,58,53,true,"2,938","21,976","24,914","1,466",High,"44,977",294,859,169,357,false,1,6,2,0,High,48,146,21,0,3,53,4,1,45,2.71,High,0.72,High,0.38,1,0,1,Underground Network Areas,High,4.5,High,0.27,Medium Low,High,Low,NO,0.05,142,68,NO,NO,NO,NO,NONE
MN23,West Village,Manhattan,"66,772","74,450.43","36,554",0.9,43,0.85,High,0.85,High,0.05,Medium High,3.9,High,3,High,9,High,0,Low,1,1,4,49,25,true,"3,094","36,554","39,648",922,High,"67,683",231,299,0,0,false,0,6,1,0,High,100,293,14,0,11,21,6,12,151,3.79,High,0.77,High,0.29,1,0,0.92,Underground Network Areas,High,4.5,High,0.43,Medium Low,High,Low,YES,0.25,44,16,NO,NO,NO,NO,NONE
MN24,SoHo-TriBeCa-Civic Center-Little Italy,Manhattan,"42,979","47,867.59","19,886",0.9,43,0.82,High,0.84,High,0.05,Medium High,3.6,High,3.6,High,14,High,0,Low,1,1,3,58,37,true,"4,070","19,886","23,956",557,Medium High,"46,753",180,"1,195",0,0,false,0,6,29,2,High,125,219,14,0,32,21,36,21,130,3.51,High,1.29,High,0.43,2,0,0.95,Underground Network Areas,High,4.5,High,0.25,Low,High,Low,YES,0.27,28,13,NO,NO,NO,NO,NONE
MN25,Battery Park City-Lower Manhattan,Manhattan,"45,737","67,103.35","21,956",0.68,41,0.89,High,0.88,High,0.03,Low,3.8,High,4.5,High,11,High,0,Low,1,1,2,52,38,true,"1,231","21,956","23,187",566,Medium High,"44,541",165,491,0,0,false,0,14,4,0,High,108,150,17,0,19,4,51,6,136,3.46,High,1.2,High,0.33,2,0.09,0.8,Above and Underground Network,Average,4.5,High,0.25,Low,Average,Average,NO,0.03,56,36,NO,NO,NO,NO,NONE
MN27,Chinatown,Manhattan,"44,898","86,316.9","18,595",0.52,35,0.54,Low,0.6,Low,0.03,Low,3.4,High,2.3,High,5,High,0,Low,1,1,3,29,14,true,"2,966","18,595","21,561",616,Medium High,"48,741",808,"3,988",0,"2,740",false,12,23,16,0,High,94,199,14,0,10,14,31,3,62,1.86,High,0.51,High,0.54,1,0,0.97,Underground Network Areas,Average,4.5,High,0.22,Low,Average,Average,NO,0,79,52,NO,NO,NO,NO,NONE
MN28,Lower East Side,Manhattan,"72,789","87,107.03","31,745",0.84,45,0.49,Low,0.57,Low,0.03,Low,3.6,High,2.4,High,4,High,0,Low,1,1,8,7,0,false,"2,480","31,745","34,225",761,High,"75,559","2,614","6,606",379,"11,589",false,32,22,3,2,Medium High,112,36,36,1,18,0,10,1,89,2,High,0.38,Medium High,0.34,2,0,0.94,Underground Network Areas,High,4.5,High,0.37,Medium Low,High,Low,YES,0.28,32,10,YES,YES,NO,NO,High underground interference from existing utilities.
MN31,Lenox Hill-Roosevelt Island,Manhattan,"82,051","106,392.34","43,061",0.77,36,0.84,High,0.82,High,0.04,Medium Low,3.3,High,2.8,High,5,High,0,Low,1,0.99,6,52,46,true,"1,604","43,061","44,665","1,241",High,"81,782",554,822,0,150,false,1,12,3,1,Medium High,82,128,30,0,10,45,9,6,81,2.42,High,0.42,Medium High,0.42,3,0.06,0.77,Above and Underground Network,High,4.5,High,0.48,Medium Low,High,Low,YES,0.05,41,32,NO,NO,NO,NO,NONE
MN32,Yorkville,Manhattan,"81,278","166,594.62","43,627",0.49,19,0.84,High,0.84,High,0.05,Medium High,3.4,High,2.9,High,5,High,0,Low,1,0.95,2,14,13,true,"1,696","43,627","45,323","2,385",High,"78,678",536,"1,083",65,"1,173",false,4,5,2,0,High,45,92,29,0,6,13,14,2,26,1.47,High,0.54,High,0.4,2,0,0.95,Underground Network Areas,High,4.5,High,0.48,Medium Low,High,Low,YES,0.05,42,20,NO,NO,NO,NO,NONE
MN33,East Harlem South,Manhattan,"59,777","100,090.93","24,632",0.6,30,0.64,Medium Low,0.68,Medium Low,0.07,High,2.8,High,2.8,High,5,High,0,Low,1,0.95,4,20,18,true,"1,067","24,632","25,699",857,High,"63,962","1,291","4,775",54,"6,671",false,25,27,2,3,High,78,77,34,0,13,14,8,14,36,1.67,High,0.51,High,0.76,3,0,0.97,Underground Network Areas,High,4.5,High,0.27,Medium Low,High,Low,YES,0.14,41,17,NO,NO,NO,NO,NONE
MN34,East Harlem North,Manhattan,"61,031","69,465.25","24,941",0.88,49,0.57,Low,0.59,Low,0.06,High,2.5,Medium High,2.6,High,5,High,0,Low,1,0.88,7,65,49,true,724,"24,941","25,665",524,Medium High,"71,957","1,654","6,113",572,"8,684",false,24,21,8,0,Medium High,94,64,28,0,32,27,11,30,33,1.29,High,0.34,Medium High,0.98,2,0.07,0.94,Above and Underground Network,Average,4.5,High,0.26,Medium Low,Average,Average,YES,0.61,50,21,NO,NO,NO,NO,NONE
MN35,Washington Heights North,Manhattan,"73,523","90,433.66","26,000",0.81,28,0.72,Medium High,0.72,Medium High,0.07,High,2.4,Medium High,2.2,High,4,High,0,Low,1,0.95,1,25,20,true,735,"26,000","26,735",955,High,"68,874",741,"4,726",0,0,false,0,19,2,0,Medium Low,70,96,24,1,17,20,12,8,15,0.82,Medium High,0.38,Medium High,1,2,0,0.88,Above and Underground Network,High,4.5,High,0.29,Medium Low,High,Low,YES,0.41,58,36,NO,NO,NO,NO,NONE
MN36,Washington Heights South,Manhattan,"92,476","111,645.64","30,122",0.83,46,0.62,Low,0.69,Medium Low,0.07,High,2.3,Medium High,2.1,High,4,High,0,Low,1,0.95,6,48,34,true,862,"30,122","30,984",674,High,"84,565","1,765","5,963",316,998,false,6,16,3,1,High,88,118,36,0,29,34,9,16,36,1.13,High,0.33,Medium High,1,2,0.03,0.93,Above and Underground Network,Average,4.5,High,0.32,Medium Low,Average,Average,YES,0.31,17,8,NO,NO,NO,NO,NONE
MN40,Upper East Side-Carnegie Hill,Manhattan,"58,593","81,412.57","28,764",0.72,40,0.86,High,0.83,High,0.04,Medium Low,3.5,High,3.5,High,8,High,0,Low,1,1,1,54,46,true,"2,024","28,764","30,788",770,High,"60,923",89,777,0,0,false,0,4,1,0,High,92,276,6,0,9,45,9,10,110,3,High,0.66,High,0.58,3,0,1,Underground Network Areas,High,4.5,High,0.33,Medium Low,High,Low,YES,0.12,43,34,YES,YES,NO,NO,High underground interference from existing utilities.
MN50,Stuyvesant Town-Cooper Village,Manhattan,"21,462","107,199.1","10,434",0.2,10,0.81,High,0.8,High,0.04,Medium Low,3.8,High,2.2,High,4,High,0,Low,1,1,0,0,0,false,"1,746","10,434","12,180","1,218",High,"20,913",69,183,0,0,false,0,0,0,0,Low,7,3,17,0,2,0,1,0,13,1.3,High,0.34,Medium High,0.35,1,0,0.9,Underground Network Areas,High,4.5,High,0.13,Low,High,Low,YES,0.44,25,8,NO,NO,NO,NO,NONE
MN99,park-cemetery-etc-Manhattan,Manhattan,"1,662",506.7,0,3.28,97,0,Low,0,Low,0,Low,2.1,Medium High,1.5,Medium-High,3,Medium High,0,Low,1,0.58,1,44,1,true,,,,,,,,,,,,,,,,,,,,,,,3,44,60,1.07,Medium High,,,,,,,,,,,,,,,,,,,,,,,
QN01,South Jamaica,Queens,"41,606","29,019.75","12,117",1.43,49,0.58,Low,0.72,Medium High,0.09,High,1.9,Medium Low,1,Low,1,Low,0.07,Medium Low,1,1,3,7,0,false,473,"12,117","12,590",257,Medium Low,"41,371",923,"2,376",0,"2,096",true,4,8,16,0,Medium Low,125,5,7,0,3,0,0,9,12,0.43,Medium Low,0,,1,1,1,0,Above and Underground Network,Average,4,Average,1.08,Medium High,Average,Average,NO,0,49,14,NO,NO,NO,NO,NONE
QN02,Springfield Gardens North,Queens,"27,577","27,044.99","10,407",1.02,31,0.59,Low,0.71,Medium Low,0.15,High,2,Medium Low,1.4,Medium-High,2,Medium Low,0.05,Medium Low,1,1,4,5,0,false,901,"10,407","11,308",365,Medium Low,"25,655",222,799,0,0,false,0,11,6,0,Low,54,5,12,0,3,0,0,3,1,0.13,Low,0,,1,2,1,0,Above Ground (Utility Pole Presence),Average,4,Average,0.97,Medium High,Average,Average,NO,0,70,21,NO,NO,NO,NO,NONE
QN03,Springfield Gardens South-Brookville,Queens,"21,900","14,113.34","5,918",1.55,67,0.64,Medium Low,0.78,High,0.16,High,1.8,Low,1.1,Low,2,Medium Low,0.22,High,0.96,0.96,0,0,0,false,658,"5,918","6,576",98,Low,"20,537",250,602,0,0,true,0,5,8,0,Medium Low,36,6,3,0,1,0,0,14,4,0.27,Low,0,,1,2,1,0,Above Ground (Utility Pole Presence),Low,3,Low,0.56,Medium Low,Low,High,YES,0.09,44,19,NO,NO,NO,NO,NONE
QN05,Rosedale,Queens,"27,462","12,430.88","7,643",2.21,59,0.83,High,0.82,High,0.04,Medium Low,2,Medium High,1.2,Low,3,Medium High,0.11,Medium High,0.98,0.97,1,1,0,false,369,"7,643","8,012",136,Low,"25,398",333,585,0,0,false,0,4,14,0,Low,69,8,5,0,3,0,0,4,6,0.17,Low,0,,0.86,2,0.95,0,Above and Underground Network,Low,3,Low,0.68,Medium Low,Low,High,YES,0.01,55,33,NO,NO,NO,NO,NONE
